VehicleID,Timestamp,Latitude,Longitude,Speed
TX001,2024-01-01 06:35:00,28.627787,77.16176,40.96
TX001,2024-01-01 06:35:30,28.627694,77.161666,53.28
TX001,2024-01-01 06:36:00,28.628001,77.161479,53.95
TX001,2024-01-01 06:36:30,28.627815,77.161292,41.51
TX001,2024-01-01 06:37:00,28.62705,77.160602,37.9
TX001,2024-01-01 06:37:30,28.626645,77.160728,28.25
TX001,2024-01-01 06:38:00,28.62608,77.161314,24.1
TX001,2024-01-01 06:38:30,28.626107,77.160745,32.29
TX001,2024-01-01 06:39:00,28.626151,77.160284,28.47
TX001,2024-01-01 06:39:30,28.625911,77.160167,39.51
TX001,2024-01-01 06:40:00,28.626652,77.160162,27.78
TX001,2024-01-01 06:40:30,28.626981,77.159674,22.31
TX001,2024-01-01 06:41:00,28.626197,77.159142,37.51
TX001,2024-01-01 06:41:30,28.626493,77.159211,37.36
TX001,2024-01-01 06:42:00,28.626372,77.15862,33.61
TX001,2024-01-01 06:42:30,28.626188,77.159042,26.36
TX001,2024-01-01 06:43:00,28.625483,77.159172,39.12
TX001,2024-01-01 06:43:30,28.625212,77.159417,30.38
TX001,2024-01-01 06:44:00,28.625584,77.159081,47.37
TX001,2024-01-01 06:44:30,28.625717,77.159471,31.29
TX001,2024-01-01 06:45:00,28.625643,77.159029,29.25
TX001,2024-01-01 06:45:30,28.625968,77.159571,20.65
TX001,2024-01-01 06:46:00,28.626369,77.159716,34.14
TX001,2024-01-01 06:46:30,28.626514,77.160331,27.26
TX001,2024-01-01 06:47:00,28.627139,77.159283,34.57
TX001,2024-01-01 06:47:30,28.627174,77.159164,44.86
TX001,2024-01-01 06:48:00,28.626379,77.159076,36.1
TX001,2024-01-01 06:48:30,28.62697,77.158868,39.29
TX001,2024-01-01 06:49:00,28.62677,77.159235,25.3
TX001,2024-01-01 06:49:30,28.626558,77.15944,38.95
TX001,2024-01-01 06:50:00,28.626945,77.159159,36.16
TX001,2024-01-01 06:50:30,28.626788,77.158574,31.07
TX001,2024-01-01 06:51:00,28.626893,77.158576,38.55
TX001,2024-01-01 06:51:30,28.626327,77.158407,32.18
TX001,2024-01-01 06:52:00,28.626006,77.158343,30.89
TX001,2024-01-01 06:52:30,28.62676,77.158413,39.85
TX001,2024-01-01 06:53:00,28.62673,77.157645,38.09
TX001,2024-01-01 06:53:30,28.626755,77.158631,34.68
TX001,2024-01-01 06:54:00,28.626875,77.158617,32.69
TX001,2024-01-01 06:54:30,28.627332,77.158917,20.98
TX001,2024-01-01 06:55:00,28.626969,77.159479,44.49
TX001,2024-01-01 06:55:30,28.627203,77.160355,18.18
TX001,2024-01-01 06:56:00,28.626977,77.160395,23.11
TX001,2024-01-01 06:56:30,28.626356,77.160422,28.96
TX001,2024-01-01 06:57:00,28.626546,77.160054,22.25
TX001,2024-01-01 06:57:30,28.626233,77.159925,53.6
TX001,2024-01-01 06:58:00,28.62574,77.160016,44.76
TX001,2024-01-01 06:58:30,28.625097,77.16009,50.69
TX001,2024-01-01 06:59:00,28.62541,77.159595,38.12
TX001,2024-01-01 06:59:30,28.625619,77.159714,19.15
TX001,2024-01-01 07:00:00,28.625757,77.159442,38.01
TX001,2024-01-01 07:00:30,28.625875,77.159157,37.79
TX001,2024-01-01 07:01:00,28.626064,77.15868,57.39
TX001,2024-01-01 07:01:30,28.625674,77.158995,42.88
TX001,2024-01-01 07:02:00,28.625346,77.15938,48.9
TX001,2024-01-01 07:02:30,28.625675,77.160139,39.95
TX001,2024-01-01 07:03:00,28.625373,77.159783,32.06
TX001,2024-01-01 07:03:30,28.625342,77.15992,25.21
TX001,2024-01-01 07:04:00,28.625673,77.159925,38.32
TX001,2024-01-01 07:04:30,28.625567,77.161013,52.44
TX001,2024-01-01 07:05:00,28.625225,77.160584,42.51
TX001,2024-01-01 07:05:30,28.625135,77.16087,40.79
TX001,2024-01-01 07:06:00,28.625106,77.160531,40.68
TX001,2024-01-01 07:06:30,28.624928,77.160874,16.82
TX001,2024-01-01 07:07:00,28.624429,77.160943,37.57
