Timestamp,Ticker,Price,Volume,Action
2025-01-01 09:15:00.000000,TSLA,266.35,772,Buy
2025-01-01 09:15:22.522522,TSLA,228.07,291,Buy
2025-01-01 09:15:45.045045,MSFT,394.13,32,Sell
2025-01-01 09:16:07.567567,MSFT,369.65,361,Buy
2025-01-01 09:16:30.090090,TSLA,230.68,186,Sell
2025-01-01 09:16:52.612612,MSFT,422.37,468,Sell
2025-01-01 09:17:15.135135,AAPL,166.13,208,Sell
2025-01-01 09:17:37.657657,GOOGL,158.09,724,Sell
2025-01-01 09:18:00.180180,TSLA,253.48,810,Sell
2025-01-01 09:18:22.702702,TSLA,259.42,105,Sell
2025-01-01 09:18:45.225225,GOOGL,138.0,878,Sell
2025-01-01 09:19:07.747747,AAPL,156.95,237,Buy
2025-01-01 09:19:30.270270,GOOGL,149.34,104,Sell
2025-01-01 09:19:52.792792,MSFT,442.53,44,Buy
2025-01-01 09:20:15.315315,TSLA,285.39,743,Buy
2025-01-01 09:20:37.837837,GOOGL,166.05,288,Sell
2025-01-01 09:21:00.360360,TSLA,281.73,802,Sell
2025-01-01 09:21:22.882882,GOOGL,160.15,682,Sell
2025-01-01 09:21:45.405405,GOOGL,157.72,799,Buy
2025-01-01 09:22:07.927927,TSLA,232.49,799,Buy
2025-01-01 09:22:30.450450,GOOGL,166.58,660,Sell
2025-01-01 09:22:52.972972,GOOGL,137.32,300,Buy
2025-01-01 09:23:15.495495,AAPL,156.71,495,Sell
2025-01-01 09:23:38.018018,AAPL,158.73,174,Buy
2025-01-01 09:24:00.540540,TSLA,291.17,959,Sell
2025-01-01 09:24:23.063063,TSLA,204.3,367,Buy
2025-01-01 09:24:45.585585,AAPL,153.11,753,Buy
2025-01-01 09:25:08.108108,MSFT,395.49,257,Buy
2025-01-01 09:25:30.630630,GOOGL,149.51,385,Sell
2025-01-01 09:25:53.153153,TSLA,200.67,982,Buy
2025-01-01 09:26:15.675675,GOOGL,145.46,108,Sell
2025-01-01 09:26:38.198198,GOOGL,159.68,938,Buy
2025-01-01 09:27:00.720720,AAPL,176.51,122,Sell
2025-01-01 09:27:23.243243,MSFT,409.18,91,Buy
2025-01-01 09:27:45.765765,GOOGL,130.44,739,Buy
2025-01-01 09:28:08.288288,MSFT,439.06,619,Sell
2025-01-01 09:28:30.810810,MSFT,380.48,498,Buy
2025-01-01 09:28:53.333333,MSFT,420.2,679,Sell
2025-01-01 09:29:15.855855,MSFT,411.33,653,Buy
2025-01-01 09:29:38.378378,GOOGL,133.34,715,Sell
2025-01-01 09:30:00.900900,AAPL,158.94,30,Sell
2025-01-01 09:30:23.423423,MSFT,360.49,306,Sell
2025-01-01 09:30:45.945945,AAPL,152.13,601,Sell
2025-01-01 09:31:08.468468,AAPL,164.44,119,Sell
2025-01-01 09:31:30.990990,AAPL,172.73,448,Sell
2025-01-01 09:31:53.513513,MSFT,381.3,280,Buy
2025-01-01 09:32:16.036036,AAPL,150.28,514,Buy
2025-01-01 09:32:38.558558,GOOGL,157.97,742,Sell
2025-01-01 09:33:01.081081,AAPL,169.16,556,Sell
2025-01-01 09:33:23.603603,AAPL,171.96,329,Sell
2025-01-01 09:33:46.126126,TSLA,297.25,220,Sell
2025-01-01 09:34:08.648648,GOOGL,149.74,67,Sell
2025-01-01 09:34:31.171171,TSLA,281.35,331,Sell
2025-01-01 09:34:53.693693,GOOGL,153.86,868,Buy
2025-01-01 09:35:16.216216,GOOGL,173.92,932,Sell
2025-01-01 09:35:38.738738,MSFT,425.5,620,Sell
2025-01-01 09:36:01.261261,GOOGL,135.87,250,Buy
2025-01-01 09:36:23.783783,TSLA,290.62,695,Buy
2025-01-01 09:36:46.306306,AAPL,164.72,148,Buy
2025-01-01 09:37:08.828828,GOOGL,156.76,65,Sell
2025-01-01 09:37:31.351351,AAPL,166.22,119,Buy
2025-01-01 09:37:53.873873,MSFT,372.39,422,Buy
2025-01-01 09:38:16.396396,AAPL,160.55,828,Sell
2025-01-01 09:38:38.918918,MSFT,420.91,743,Buy
2025-01-01 09:39:01.441441,MSFT,410.26,585,Buy
2025-01-01 09:39:23.963963,TSLA,257.32,925,Buy
2025-01-01 09:39:46.486486,TSLA,251.26,407,Sell
2025-01-01 09:40:09.009009,TSLA,214.77,495,Sell
2025-01-01 09:40:31.531531,MSFT,381.11,323,Sell
2025-01-01 09:40:54.054054,TSLA,274.51,455,Buy
2025-01-01 09:41:16.576576,GOOGL,137.55,518,Buy
2025-01-01 09:41:39.099099,AAPL,176.88,815,Sell
2025-01-01 09:42:01.621621,MSFT,418.81,534,Buy
2025-01-01 09:42:24.144144,GOOGL,159.86,30,Sell
2025-01-01 09:42:46.666666,AAPL,159.06,535,Buy
2025-01-01 09:43:09.189189,GOOGL,135.16,720,Sell
2025-01-01 09:43:31.711711,MSFT,418.85,598,Buy
2025-01-01 09:43:54.234234,TSLA,285.12,595,Buy
2025-01-01 09:44:16.756756,TSLA,244.82,227,Buy
2025-01-01 09:44:39.279279,AAPL,152.98,41,Buy
2025-01-01 09:45:01.801801,MSFT,415.92,832,Buy
2025-01-01 09:45:24.324324,MSFT,435.3,298,Buy
2025-01-01 09:45:46.846846,TSLA,267.2,925,Buy
2025-01-01 09:46:09.369369,AAPL,156.49,946,Buy
2025-01-01 09:46:31.891891,AAPL,175.97,464,Sell
2025-01-01 09:46:54.414414,MSFT,419.96,975,Sell
2025-01-01 09:47:16.936936,GOOGL,141.92,319,Sell
2025-01-01 09:47:39.459459,TSLA,203.76,814,Sell
2025-01-01 09:48:01.981981,AAPL,175.89,255,Sell
2025-01-01 09:48:24.504504,TSLA,290.71,39,Buy
2025-01-01 09:48:47.027027,MSFT,373.83,664,Sell
2025-01-01 09:49:09.549549,MSFT,428.28,168,Sell
2025-01-01 09:49:32.072072,GOOGL,171.05,432,Buy
2025-01-01 09:49:54.594594,TSLA,278.57,951,Buy
2025-01-01 09:50:17.117117,GOOGL,177.74,366,Sell
2025-01-01 09:50:39.639639,TSLA,258.02,561,Buy
2025-01-01 09:51:02.162162,MSFT,410.89,551,Buy
2025-01-01 09:51:24.684684,MSFT,360.92,621,Sell
2025-01-01 09:51:47.207207,AAPL,171.48,967,Buy
2025-01-01 09:52:09.729729,TSLA,269.75,670,Buy
2025-01-01 09:52:32.252252,GOOGL,155.78,764,Sell
2025-01-01 09:52:54.774774,AAPL,162.9,292,Buy
2025-01-01 09:53:17.297297,GOOGL,177.67,113,Sell
2025-01-01 09:53:39.819819,AAPL,168.04,759,Buy
2025-01-01 09:54:02.342342,MSFT,433.68,335,Sell
2025-01-01 09:54:24.864864,AAPL,170.0,978,Buy
2025-01-01 09:54:47.387387,AAPL,166.75,858,Sell
2025-01-01 09:55:09.909909,TSLA,293.03,556,Buy
2025-01-01 09:55:32.432432,MSFT,355.55,41,Sell
2025-01-01 09:55:54.954954,AAPL,162.88,89,Buy
2025-01-01 09:56:17.477477,MSFT,379.71,978,Sell
2025-01-01 09:56:40.000000,TSLA,232.98,81,Buy
2025-01-01 09:57:02.522522,TSLA,206.37,845,Sell
2025-01-01 09:57:25.045045,AAPL,170.76,30,Buy
2025-01-01 09:57:47.567567,GOOGL,143.39,607,Buy
2025-01-01 09:58:10.090090,TSLA,215.58,456,Buy
2025-01-01 09:58:32.612612,AAPL,179.61,694,Buy
2025-01-01 09:58:55.135135,MSFT,376.71,666,Buy
2025-01-01 09:59:17.657657,GOOGL,168.17,418,Sell
2025-01-01 09:59:40.180180,AAPL,176.48,415,Sell
2025-01-01 10:00:02.702702,TSLA,263.4,215,Buy
2025-01-01 10:00:25.225225,GOOGL,144.41,516,Sell
2025-01-01 10:00:47.747747,AAPL,164.82,158,Buy
2025-01-01 10:01:10.270270,AAPL,162.37,367,Sell
2025-01-01 10:01:32.792792,TSLA,282.57,922,Sell
2025-01-01 10:01:55.315315,MSFT,399.59,853,Sell
2025-01-01 10:02:17.837837,GOOGL,146.35,985,Buy
2025-01-01 10:02:40.360360,AAPL,172.06,723,Buy
2025-01-01 10:03:02.882882,AAPL,158.96,559,Buy
2025-01-01 10:03:25.405405,TSLA,297.17,253,Buy
2025-01-01 10:03:47.927927,AAPL,168.15,192,Sell
2025-01-01 10:04:10.450450,GOOGL,158.74,842,Sell
2025-01-01 10:04:32.972972,AAPL,155.41,280,Sell
2025-01-01 10:04:55.495495,GOOGL,152.31,505,Buy
2025-01-01 10:05:18.018018,TSLA,259.66,666,Sell
2025-01-01 10:05:40.540540,MSFT,352.99,880,Buy
2025-01-01 10:06:03.063063,GOOGL,131.07,692,Buy
2025-01-01 10:06:25.585585,AAPL,172.86,582,Sell
2025-01-01 10:06:48.108108,AAPL,162.09,343,Sell
2025-01-01 10:07:10.630630,TSLA,253.68,773,Buy
2025-01-01 10:07:33.153153,MSFT,378.16,112,Sell
2025-01-01 10:07:55.675675,TSLA,237.37,995,Buy
2025-01-01 10:08:18.198198,AAPL,156.15,686,Buy
2025-01-01 10:08:40.720720,GOOGL,147.08,759,Sell
2025-01-01 10:09:03.243243,AAPL,161.25,568,Sell
2025-01-01 10:09:25.765765,TSLA,219.5,212,Buy
2025-01-01 10:09:48.288288,TSLA,248.84,830,Sell
2025-01-01 10:10:10.810810,MSFT,428.01,65,Sell
2025-01-01 10:10:33.333333,TSLA,205.61,835,Sell
2025-01-01 10:10:55.855855,AAPL,179.86,534,Buy
2025-01-01 10:11:18.378378,AAPL,152.64,444,Buy
2025-01-01 10:11:40.900900,TSLA,249.99,227,Buy
2025-01-01 10:12:03.423423,MSFT,360.13,570,Buy
2025-01-01 10:12:25.945945,TSLA,296.75,914,Buy
2025-01-01 10:12:48.468468,TSLA,222.36,936,Sell
2025-01-01 10:13:10.990990,AAPL,153.64,638,Sell
2025-01-01 10:13:33.513513,GOOGL,146.83,861,Buy
2025-01-01 10:13:56.036036,TSLA,224.41,387,Buy
2025-01-01 10:14:18.558558,MSFT,399.34,348,Sell
2025-01-01 10:14:41.081081,AAPL,150.31,823,Buy
2025-01-01 10:15:03.603603,MSFT,430.34,301,Buy
2025-01-01 10:15:26.126126,AAPL,176.42,177,Sell
2025-01-01 10:15:48.648648,TSLA,279.04,981,Sell
2025-01-01 10:16:11.171171,AAPL,164.18,400,Buy
2025-01-01 10:16:33.693693,AAPL,168.15,722,Sell
2025-01-01 10:16:56.216216,AAPL,154.89,790,Buy
2025-01-01 10:17:18.738738,AAPL,174.96,43,Sell
2025-01-01 10:17:41.261261,AAPL,176.65,889,Buy
2025-01-01 10:18:03.783783,GOOGL,159.2,335,Sell
2025-01-01 10:18:26.306306,GOOGL,164.57,511,Sell
